ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3616,1,4,2, ,11,3,2,9,2, ,1,2,2,2,1, ,5,1,6,71,1,6,6,1,3,1,4,2,17,2, ,16,1,2,3,5/5/2016,.621481953539244
3311,1,7,2, ,6,3,3,2,2, ,4,2,2,2,2, ,1,1,7,41,2,2,6,2,3,1,6,2,17,2, ,17,15,2,1,5/5/2016,1.11016428319735
3895,1,8,2, ,11,1,2,5,1,12,1,2,2,2,2, ,3,1,9,75,1,6,3,1,3,10,4,1,17,2, ,17,1,1,2,5/5/2016,.302202064686514
3459,2,1,2, ,8,3,2,1,2, ,1,1,1,2,2,5, ,1,1,27,5,1,6,1,4,7,2,2,17,2, ,19,6,2,1,5/4/2016,.82107748976641
3556,2,1,2, ,6,1,2,3,2, ,1,2,2,1,2,1, ,1,1,20,5,1,4,2,4,7,5,1,17,2, ,19,18,1,1,5/5/2016,.68161955422063
3650,2,1,1, ,11,3,2,7,1,9,1,2,2,2,1,2, ,1,1,50,2,1,2,2,4,1,7,1,17,2, ,19,12,1,2,5/4/2016,.554592178892179
3651,1,1,2, ,11,1,3,8,1,12,1,2,2,2,2, ,4,1,1,56,1,2,3,2,4,7,7,1,17,2, ,19,12,1,2,5/7/2016,.554592178892179
3706,2,1,2, ,8,3,3,7,2, ,1,2,2,2,2,3, ,1,1,38,5,2,7,1,4,7,2,2,17,2, ,19,6,2,2,5/10/2016,.48646358201821
3866,1,1,2, ,11,3,2,6,2, ,1,2,1,2,2, ,3,1,1,80,3,6,2,2,4,7,8,1,17,2, ,19,10,1,2,5/7/2016,.338486905293385
3884,1,8,2, ,11,1,2,11,1,7,4,2,2,2,2, ,4,1,1,64,1,6,3,2,4,2,7,1,17,2, ,19,12,1,3,5/7/2016,.308284913001555
3912,2,7,2, ,11,1,3,11,2, ,1,2,2,2,2,4, ,1,1,44,6,3,6,1,4,6,2,2,17,2, ,19,6,2,3,5/9/2016,.270413808143632
3959,1,1,2, ,11,1,2,9,1,12,1,2,1,2,1, ,1,1,1,66,1,6,4,2,4,7,8,1,17,2, ,19,10,1,3,5/6/2016,.188157010001441
3076,2,2,1, ,8,1,3,6,2, ,1,2,2,2,2,4, ,1,2,34,2,1,1,2,4,7,6,1,17,2, ,20,15,1,2,5/10/2016,2.33666798646873
3473,1,2,1, ,11,1,3,6,1,4,1,2,2,2,2, ,3,1,2,69,1,6,1,2,4,1,8,1,17,2, ,20,10,1,2,5/7/2016,.804553215783772
3824,1,2,2, ,11,1,2,9,1,4,3,2,2,2,2, ,4,1,2,75,5,6,5,2,4,5,8,2,17,2, ,20,10,2,3,5/6/2016,.380126949143146
3727,1,2,2, ,11,3,3,6,1,13,1,2,2,2,2, ,4,1,6,82,1,6,5,2,4,3,8,2,17,2, ,22,10,2,2,5/7/2016,.466022104239952
